PS.X,PS.Y,SS.X,SS.Y
6.476433221553947739e-01,3.844289933607166754e-01,6.773126915993283870e-01,1.776339661890080079e-01
6.628351748105764107e-01,3.992583273292951707e-01,6.915866126384717649e-01,1.970786042437139840e-01
6.778508488270551524e-01,4.147307060594069839e-01,7.056875829732757177e-01,2.173586657783577458e-01
6.926664137880371719e-01,4.308052202460376234e-01,7.196123989919229746e-01,2.384322478708136850e-01
7.072600099023076403e-01,4.474373372774836377e-01,7.333559190669284300e-01,2.602529074933491171e-01
7.216116966169295877e-01,4.645791864745476007e-01,7.469112362075630562e-01,2.827696201675015675e-01
7.357032880938368935e-01,4.821798338631034797e-01,7.602698702911906414e-01,3.059268149815405069e-01
7.495181856518241537e-01,5.001855534269422643e-01,7.734219690987871321e-01,3.296644775844266295e-01
7.630412142014164623e-01,5.185401006021761461e-01,7.863565104225409552e-01,3.539183129677930806e-01
7.762584672558687782e-01,5.371849922738913818e-01,7.990614998971110605e-01,3.786199604254874007e-01
7.891571632310008244e-01,5.560597959506793364e-01,8.115241610025705210e-01,4.036972538193747684e-01
8.017255143683558183e-01,5.751024292778036395e-01,8.237311149936800136e-01,4.290745210396507692e-01
8.139526086436600361e-01,5.942494697013859239e-01,8.356685494279240123e-01,4.546729172464135105e-01
8.258283043742100649e-01,6.134364729674610661e-01,8.473223745862878964e-01,4.804107870767497790e-01
8.373431368427693977e-01,6.325982982542122102e-01,8.586783674851953263e-01,5.062040514858545670e-01
8.484882360506844634e-01,6.516694370954909665e-01,8.697223034296571731e-01,5.319666152662312353e-01
8.592552546482548070e-01,6.705843428474145274e-01,8.804400752069422298e-01,5.576107915697939843e-01
8.696363051237712138e-01,6.892777572570495392e-01,8.908178001051788586e-01,5.830477399618801959e-01
8.796239054294241466e-01,7.076850306871250718e-01,9.008419149904070000e-01,6.081879146830021510e-01
8.892109323540516863e-01,7.257424327043947576e-01,9.104992597086021267e-01,6.329415199016827920e-01
8.983905820964295241e-01,7.433874500215829073e-01,9.197771491096197183e-01,6.572189688259834073e-01
9.071563376301463588e-01,7.605590691635236711e-01,9.286634340261963327e-01,6.809313436155803867e-01
9.155019425679904455e-01,7.771980416779838974e-01,9.371465515876514774e-01,7.039908531108771683e-01
9.234213813201125332e-01,7.932471302033784477e-01,9.452155653062773721e-01,7.263112854783476680e-01
9.309088653897373833e-01,8.086513342142561678e-01,9.528601954439379629e-01,7.478084529671454872e-01
9.379588256600362994e-01,8.233580947689668195e-01,9.600708402448417944e-01,7.684006260837491498e-01
9.445659104965464792e-01,8.373174780637393511e-01,9.668385887044564919e-01,7.880089546200937933e-01
9.507249894246332378e-01,8.504823380380711617e-01,9.731552256300284309e-01,8.065578731154412484e-01
9.564311620470169473e-01,8.628084586662646549e-01,9.790132298307894221e-01,8.239754884915404531e-01
9.616797717503509091e-01,8.742546769007052410e-01,9.844057663512161271e-01,8.401939477715650861e-01
9.664664236217677118e-01,8.847829874990833510e-01,9.893266737244472697e-01,8.551497839728304795e-01
9.707870058665553081e-01,8.943586311680765677e-01,9.937704472713160264e-01,8.687842384478986490e-01
9.746377138971447085e-01,9.029501675904921809e-01,9.977322195001665506e-01,8.810435581349939094e-01
9.780150761614334609e-01,9.105295349741706623e-01,1.001207738671130665e+00,8.918792663635599638e-01
9.809159807039826706e-01,9.170720977733732848e-01,1.004193346574057122e+00,9.012484060415560938e-01
9.833377014140978201e-01,9.225566841926141626e-01,1.006685956530869008e+00,9.091137542256814141e-01
9.852779229154066121e-01,9.269656149955096680e-01,1.008683032570669047e+00,9.154440072427181274e-01
9.867347630951111004e-01,9.302847250146374369e-01,1.010182570640126398e+00,9.202139356891397837e-01
9.877067923580267195e-01,9.325033786010709091e-01,1.011183082603978711e+00,9.234045087875323299e-01
9.881930488191624784e-01,9.336144800755084017e-01,1.011683583662497998e+00,9.250029877237013753e-01
9.882538422401760947e-01,9.337534509640297298e-01,1.011746157759823905e+00,9.252029473808880411e-01
